priority_rank,disease_id,disease_type,attention_level,growth_trend,first_inspection,last_inspection,first_area_px,last_area_px,area_growth_rate,area_growth_px,first_risk_level,last_risk_level,risk_level_change,last_mileage_range,main_clock_direction,recheck_reason,recheck_suggestion,growth_description,comparability_status
1,D005,water_leakage,重点关注,不可比较,I001,I003,9733,9733,0.0,0,高,高,0,K12+006.0,12点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D005当前不可纵向比较。静态面积审计为9733 px² -> 9733 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
2,D006,crack,重点关注,不可比较,I001,I003,9733,9733,0.0,0,高,高,0,K12+033.5,7点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D006当前不可纵向比较。静态面积审计为9733 px² -> 9733 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
3,D001,spalling,重点关注,不可比较,I001,I003,9726,9726,0.0,0,高,高,0,K12+019.5,3点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D001当前不可纵向比较。静态面积审计为9726 px² -> 9726 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
4,D002,spalling,重点关注,不可比较,I001,I003,9726,9726,0.0,0,高,高,0,K12+020.0,4点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D002当前不可纵向比较。静态面积审计为9726 px² -> 9726 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
5,D003,crack,重点关注,不可比较,I001,I003,9726,9726,0.0,0,高,高,0,K12+008.5,5点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D003当前不可纵向比较。静态面积审计为9726 px² -> 9726 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
6,D004,spalling,重点关注,不可比较,I001,I003,9726,9726,0.0,0,高,高,0,K12+089.5,11点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D004当前不可纵向比较。静态面积审计为9726 px² -> 9726 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
7,D010,crack,重点关注,不可比较,I001,I003,5751,5751,0.0,0,高,高,0,K12+019.0,2点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D010当前不可纵向比较。静态面积审计为5751 px² -> 5751 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
8,D007,water_leakage,重点关注,不可比较,I001,I003,9733,5692,-0.4152,-4041,高,高,0,K12+082.0,8点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D007当前不可纵向比较。静态面积审计为9733 px² -> 5692 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
9,D008,water_leakage,重点关注,不可比较,I001,I003,5692,5692,0.0,0,高,高,0,K12+017.0,10点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D008当前不可纵向比较。静态面积审计为5692 px² -> 5692 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
10,D009,spalling,重点关注,不可比较,I001,I003,5664,5664,0.0,0,高,高,0,K12+013.5,3点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议记录静态面积证据，并在取得真实复检数据后再判断方向性变化。,病害D009当前不可纵向比较。静态面积审计为5664 px² -> 5664 px²，该数值仅作描述性审计，不构成增长、减小或稳定结论。,not_longitudinally_comparable
