disease_id,disease_type,inspection_count,first_inspection,last_inspection,first_area_px,last_area_px,area_growth_px,area_growth_rate,first_mean_area_px,last_mean_area_px,mean_area_growth_rate,first_frame_count,last_frame_count,frame_count_change,first_risk_level,last_risk_level,risk_level_change,growth_trend,attention_level,measurement_basis,claim_level,comparability_status,first_mileage_range,last_mileage_range,main_clock_direction,growth_description
D001,spalling,2,I001,I002,9726,9726,0,0.0,9726.0,9726.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+019.5,K12+019.5,3点,病害 D001 为剥落，主要位于 K12+019.5，3点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 9726 px² 和 9726 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
D002,spalling,2,I001,I002,9726,9726,0,0.0,9726.0,9726.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+020.0,K12+020.0,4点,病害 D002 为剥落，主要位于 K12+020.0，4点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 9726 px² 和 9726 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
D003,crack,2,I001,I002,9726,9726,0,0.0,9726.0,9726.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+008.5,K12+008.5,5点,病害 D003 为裂缝，主要位于 K12+008.5，5点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 9726 px² 和 9726 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
D004,spalling,2,I001,I002,9726,9726,0,0.0,9726.0,9726.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+089.5,K12+089.5,11点,病害 D004 为剥落，主要位于 K12+089.5，11点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 9726 px² 和 9726 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
D005,water_leakage,2,I001,I002,9733,9733,0,0.0,9733.0,9733.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+006.0,K12+006.0,12点,病害 D005 为渗水，主要位于 K12+006.0，12点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 9733 px² 和 9733 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
D006,crack,2,I001,I002,9733,9733,0,0.0,9733.0,9733.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+033.5,K12+033.5,7点,病害 D006 为裂缝，主要位于 K12+033.5，7点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 9733 px² 和 9733 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
D007,water_leakage,2,I001,I002,9733,9733,0,0.0,9733.0,9733.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+082.0,K12+082.0,8点,病害 D007 为渗水，主要位于 K12+082.0，8点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 9733 px² 和 9733 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
D008,water_leakage,2,I001,I002,5692,5692,0,0.0,5692.0,5692.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+017.0,K12+017.0,10点,病害 D008 为渗水，主要位于 K12+017.0，10点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 5692 px² 和 5692 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
D009,spalling,2,I001,I002,5664,5664,0,0.0,5664.0,5664.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+013.5,K12+013.5,3点,病害 D009 为剥落，主要位于 K12+013.5，3点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 5664 px² 和 5664 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
D010,crack,2,I001,I002,5751,5751,0,0.0,5751.0,5751.0,0.0,1,1,0,高,高,0,不可比较,重点关注,static_mask_area_descriptive_only,rule_evidence_only,not_longitudinally_comparable,K12+019.0,K12+019.0,2点,病害 D010 为裂缝，主要位于 K12+019.0，2点方向。该病害在 2 次巡检中保留了静态 mask 面积证据，首次/末次面积分别为 5751 px² 和 5751 px²。由于观测来自不可纵向比较的静态 KICT 样本，面积差仅用于审计，不作跨巡检方向判断。
