memory_id,memory_version,disease_id,disease_type,source_record_count,source_inspection_ids,memory_update_mode,memory_confidence,memory_limit_note,first_seen_inspection,last_seen_inspection,inspection_count,total_seen_frames,first_area_px,last_area_px,max_area_px,area_growth_px,area_growth_rate,first_risk_level,last_risk_level,risk_level_change,growth_trend,attention_level,main_clock_direction,mileage_range,representative_image_path,representative_mask_path,requires_manual_review,memory_description
MEM-D001,v2,D001,spalling,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,9726,9726,9726,0,0.000000,高,高,0,基本稳定,重点关注,3点,K12+019.5,images/0036_103_35_180.png,masks/0036_103_35_180.png,true,病害D001为剥落，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
MEM-D002,v2,D002,spalling,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,9726,9726,9726,0,0.000000,高,高,0,基本稳定,重点关注,4点,K12+020.0,images/0036_104_35.png,masks/0036_104_35.png,true,病害D002为剥落，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
MEM-D003,v2,D003,crack,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,9726,9726,9726,0,0.000000,高,高,0,基本稳定,重点关注,5点,K12+008.5,images/0036_104_35_90.png,masks/0036_104_35_90.png,true,病害D003为裂缝，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
MEM-D004,v2,D004,spalling,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,9726,9726,9726,0,0.000000,高,高,0,基本稳定,重点关注,11点,K12+089.5,images/0036_105_35_270.png,masks/0036_105_35_270.png,true,病害D004为剥落，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
MEM-D005,v2,D005,water_leakage,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,9733,9733,9733,0,0.000000,高,高,0,基本稳定,重点关注,12点,K12+006.0,images/0036_105_7_180.png,masks/0036_105_7_180.png,true,病害D005为渗水，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
MEM-D006,v2,D006,crack,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,9733,9733,9733,0,0.000000,高,高,0,基本稳定,重点关注,7点,K12+033.5,images/0036_106_7_270.png,masks/0036_106_7_270.png,true,病害D006为裂缝，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
MEM-D007,v2,D007,water_leakage,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,9733,9733,9733,0,0.000000,高,高,0,基本稳定,重点关注,8点,K12+082.0,images/0036_107_7_90.png,masks/0036_107_7_90.png,true,病害D007为渗水，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
MEM-D008,v2,D008,water_leakage,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,5692,5692,5692,0,0.000000,高,高,0,基本稳定,重点关注,10点,K12+017.0,images/0037_97_49_270.png,masks/0037_97_49_270.png,true,病害D008为渗水，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
MEM-D009,v2,D009,spalling,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,5664,5664,5664,0,0.000000,高,高,0,基本稳定,重点关注,3点,K12+013.5,images/0038_103_33_180.png,masks/0038_103_33_180.png,true,病害D009为剥落，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
MEM-D010,v2,D010,crack,2,I001|I002,incremental_update,low,Incremental CSV memory from historical records and current association; rule evidence only,I001,I002,2,2,5751,5751,5751,0,0.000000,高,高,0,基本稳定,重点关注,2点,K12+019.0,images/0038_103_34_180.png,masks/0038_103_34_180.png,true,病害D010为裂缝，首次出现于I001，末次出现于I002，面积变化率约为0.0%，呈基本稳定趋势，末次风险等级为高，当前关注等级为重点关注。
